,Id,Cantidad_Victimas,Fecha,Anio,Mes,Dia,Hora,Franja_Horaria,Lugar_Hecho,Tipo_Calle,Calle,Altura,Barrio,Coordenada x,Coordenada y,Participantes,Victima,Acusado,Hora del día,Dia_Semana,Tipo_Dia
15,20160021,1,2016-02-17,2016,2,17,23:35:00,Noche,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,cruce_de_calles,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,23,Wednesday,Dia_de_Semana
16,20160022,1,2016-02-21,2016,2,21,06:00:00,Madrugada,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,cruce_de_calles,1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,6,Sunday,Fin_de_Semana
17,20160025,1,2016-02-28,2016,2,28,04:50:00,Madrugada,AV GRAL PAZ Y AV 27 DE FEBRERO,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,4,Sunday,Fin_de_Semana
18,20160026,1,2016-02-28,2016,2,28,07:30:00,Mañana,HOLMBERG Y VEDIA,CALLE,HOLMBERG,cruce_de_calles,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,7,Sunday,Fin_de_Semana
19,20160027,1,2016-02-28,2016,2,28,09:35:00,Mañana,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,cruce_de_calles,7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,9,Sunday,Fin_de_Semana
20,20160028,1,2016-03-02,2016,3,2,10:00:00,Mañana,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,cruce_de_calles,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,10,Wednesday,Dia_de_Semana
21,20160029,1,2016-03-04,2016,3,4,17:30:00,Tarde,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,cruce_de_calles,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,17,Friday,Dia_de_Semana
22,20160031,1,2016-03-08,2016,3,8,12:30:00,Mañana,AV GRAL PAZ Y AV CNEL ROCA,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,12,Tuesday,Dia_de_Semana
23,20160034,1,2016-03-12,2016,3,12,12:30:00,Mañana,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",cruce_de_calles,4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,12,Saturday,Fin_de_Semana
24,20160035,1,2016-03-13,2016,3,13,06:00:00,Madrugada,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,cruce_de_calles,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,6,Sunday,Fin_de_Semana
25,20160036,1,2016-03-14,2016,3,14,00:15:00,Madrugada,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,cruce_de_calles,4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,0,Monday,Dia_de_Semana
26,20160037,1,2016-03-19,2016,3,19,11:00:00,Mañana,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,cruce_de_calles,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO,11,Saturday,Fin_de_Semana
27,20160038,1,2016-03-21,2016,3,21,08:06:00,Mañana,AV GRAL PAZ COLECTORA Y ZUVIRIA,AVENIDA,"PAZ, GRAL. AV.",cruce_de_calles,8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS,8,Monday,Dia_de_Semana
28,20160039,1,2016-03-23,2016,3,23,01:50:00,Madrugada,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME",cruce_de_calles,3,-58.40603217,-34.60883960,MOTO-PASAJEROS,MOTO,PASAJEROS,1,Wednesday,Dia_de_Semana
29,20160041,2,2016-03-29,2016,3,29,11:00:00,Mañana,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,cruce_de_calles,7,-58.46076550,-34.63350444,MOTO-CARGAS,MOTO,CARGAS,11,Tuesday,Dia_de_Semana
30,20160043,1,2016-03-30,2016,3,30,18:15:00,Tarde,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",cruce_de_calles,8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS,18,Wednesday,Dia_de_Semana
31,20160044,1,2016-03-31,2016,3,31,19:40:00,Tarde,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.",cruce_de_calles,7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE,19,Thursday,Dia_de_Semana
